bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
ABSHE 2004-HE5	AB405	2	A0R	13
ABSHE 2004-HE6	AB406	1	A1H	8
ABSHE 2004-HE6	AB406	2	A1I	8
ABSHE 2004-HE7	AB407	1	A1Y	13
ABSHE 2004-HE7	AB407	2	A1Z	15
ABSHE 2004-HE8	AB408	1	A2C	8
ABSHE 2004-HE8	AB408	2	A2D	8
ABSHE 2004-HE9	AB409	1	A2E	10
ABSHE 2004-HE9	AB409	2	A2F	12
ABSHE 2005-HE1	AB501	1	A2O	16
ABSHE 2005-HE1	AB501	2	A2P	18
ABSHE 2005-HE2	AB502	0	A2Q	14
ABSHE 2005-HE3	AB503	1	A2Y	14
ABSHE 2005-HE3	AB503	2	A2Z	14
ABSHE 2005-HE4	AB504	1	A3K	13
ABSHE 2005-HE4	AB504	2	A3L	15
ABSHE 2005-HE5	AB505	1	A3M	14
ABSHE 2005-HE5	AB505	2	A3T	14
ABSHE 2005-HE6	AB506	1	36A	13
ABSHE 2005-HE6	AB506	2	36B	15
ABSHE 2005-HE7	AB507	0	A3U	15
ABSHE 2005-HE8	AB508	1	36C	13
ABSHE 2005-HE8	AB508	2	36D	12
ABSHE 2005-HE8	AB508	3	36E	15
ABSHE 2006-HE1	AB601	1	B7D	15
ABSHE 2006-HE1	AB601	2	B7E	17
ABSHE 2006-HE2	AB602	1	A60	16
ABSHE 2006-HE2	AB602	2	A63	17
ABSHE 2006-HE3	AB603	1	B7A	15
ABSHE 2006-HE3	AB603	2	B7B	15
ABSHE 2006-HE3	AB603	3	B7C	17
ABSHE 2006-HE4	AB604	1	B66	15
ABSHE 2006-HE4	AB604	2	B67	14
ABSHE 2006-HE4	AB604	3	B68	17
ABSHE 2006-HE5	AB605	1	B6A	15
ABSHE 2006-HE5	AB605	2	B6B	18
ABSHE 2006-HE6	AB606	1	006	13
ABSHE 2006-HE6	AB606	2	007	16
ABSHE 2006-HE7	AB607	1	B6X	15
ABSHE 2006-HE7	AB607	2	B6Y	18
ABSHE 2007-HE1	AB701	1	B6C	16
ABSHE 2007-HE1	AB701	2	B6D	18
ABSHE 2007-HE2	AB702	1	572	14
ABSHE 2007-HE2	AB702	2	573	17
ABSLB 2000-LB1	ABS01	1	AV9	9
ABSLB 2000-LB1	ABS01	2	AV0	4
ACCR 2000-1	AHL01	0		2
ACCR 2002-1	AHL21	1	AW1	1
ACCR 2002-1	AHL21	2	AW2	1
ACCR 2003-2	ACC32	1	AW9	1
ACCR 2003-2	ACC32	2	AW0	1
ACCR 2003-2	ACC32	3	AWZ	1
ACCR 2004-2	ACC42	1	AX8	1
ACCR 2004-2	ACC42	2	AX9	1
ACCR 2004-3	ACC43	1	A1J	11
ACCR 2004-3	ACC43	2	A1K	11
ACCR 2004-3	ACC43	3	A1L	12
ACCR 2004-4	ACC44	1	A17	8
ACCR 2004-4	ACC44	2	A18	10
ACCR 2005-1	ACC51	1	A8A	8
ACCR 2005-1	ACC51	2	A8B	9
ACCR 2005-2	ACC52	1	A8C	12
ACCR 2005-2	ACC52	2	A8D	14
ACCR 2005-3	ACC53	1	GJ4	10
ACCR 2005-3	ACC53	2	GJ5	13
ACCR 2005-4	ACC54	1	GNZ	10
ACCR 2005-4	ACC54	2	GN0	13
ACCR 2006-1	ACC61	0	I1D	13
ACCR 2006-2	ACC62	0	J1D	13
ACCR 2007-1	AC071	0	J1E	13
ACE 03HS1	AC3H1	1	I0O	7
ACE 03HS1	AC3H1	2	I0P	8
ACE 1999-LB1	ACE91	0		3
ACE 1999-LB2	ACE92	0		4
ACE 2001-AQ1	ACE12	0	I0E	4
ACE 2001-HE1	ACH11	0	AWD	5
ACE 2001-NC1	ACE11	0		5
ACE 2002-HE1	ACE21	0	I0F	6
ACE 2002-HE2	ACE22	1	I0G	6
ACE 2002-HE2	ACE22	2	I0H	7
ACE 2002-HE3	ACE23	1	I0I	5
ACE 2002-HE3	ACE23	2	I0J	7
ACE 2003-FM1	ACE31	1	I0K	8
ACE 2003-FM1	ACE31	2	I0L	8
ACE 2003-HE1	AC3E1	1	I0S	7
ACE 2003-HE1	AC3E1	2	I0T	7
ACE 2003-NC1	AC3N1	1	I0Q	7
ACE 2003-NC1	AC3N1	2	I0R	9
ACE 2003-OP1	AC3P1	1	I0U	9
ACE 2003-OP1	AC3P1	2	I0V	8
ACE 2003-TC1	ACE41	1	I0M	5
ACE 2003-TC1	ACE41	2	I0N	5
ACE 2004-FM1	AC041	1	I0W	8
ACE 2004-FM1	AC041	2	I0X	9
ACE 2004-FM2	AC042	1	I1A	8
ACE 2004-FM2	AC042	2	I1B	8
ACE 2004-FM2	AC042	3	I1C	10
