bloomberg_name	lps_deal_no	intex_group	lps_pool_id	tranche_count
CMC4 1997-NAM3	FS703	1	FZW	6
CMLTI 2003-1	CG031	S1	ZCJ	7
CMLTI 2003-1	CG031	S2	ZCK	14
CMLTI 2003-1	CG031	S3	ZCL	14
CMLTI 2003-1	CG031	W1	ZCM	8
CMLTI 2003-1	CG031	W2	ZCN	7
CMLTI 2003-HE2	CG3H2	0	ZCY	8
CMLTI 2003-HE3	CG3H3	0	ZCO	5
CMLTI 2003-HE4	CG3H4	0	ZCP	8
CMLTI 2003-UP3	CG303	1	ZCD	4
CMLTI 2003-UP3	CG303	2	ZCE	4
CMLTI 2003-UP3	CG303	3	ZCF	4
CMLTI 2003-UST1	CG3U1	1	ZCG	3
CMLTI 2003-UST1	CG3U1	2	ZCH	3
CMLTI 2003-UST1	CG3U1	3	ZCI	3
CMLTI 2004-HYB1	CG4H1	1	ZCQ	5
CMLTI 2004-HYB1	CG4H1	2	ZCR	4
CMLTI 2004-HYB1	CG4H1	3	ZCS	7
CMLTI 2004-HYB1	CG4H1	4	ZCT	5
CMLTI 2004-HYB2	CG4H2	1	ZCU	4
CMLTI 2004-HYB2	CG4H2	2	ZCV	4
CMLTI 2004-HYB2	CG4H2	3	ZCW	4
CMLTI 2004-HYB2	CG4H2	4	ZCX	4
CMLTI 2004-HYB3	CG4H3	1	ZDM	9
CMLTI 2004-HYB3	CG4H3	2	ZDN	9
CMLTI 2004-HYB3	CG4H3	3	ZDO	9
CMLTI 2004-HYB4	CG4H4	1	ZDX	8
CMLTI 2004-HYB4	CG4H4	2	ZDY	9
CMLTI 2004-HYB4	CG4H4	3	ZDZ	8
CMLTI 2004-HYB4	CG4H4	4	ZD0	8
CMLTI 2004-NCM1	CG4N1	1	ZD1	11
CMLTI 2004-NCM1	CG4N1	2	ZD2	11
CMLTI 2004-NCM1	CG4N1	3	ZD3	10
CMLTI 2004-NCM1	CG4N1	4	ZD4	9
CMLTI 2004-NCM2	CG4N2	1	ZD5	11
CMLTI 2004-NCM2	CG4N2	2	ZD6	12
CMLTI 2004-NCM2	CG4N2	3	ZD7	10
CMLTI 2004-NCM2	CG4N2	4	ZD8	10
CMLTI 2004-OPT1	CG4O1	1	ZDA	16
CMLTI 2004-OPT1	CG4O1	2	ZDB	15
CMLTI 2005-1	CG501	1	ZEE	11
CMLTI 2005-1	CG501	1	ZEF	5
CMLTI 2005-1	CG501	1	ZEG	12
CMLTI 2005-10	CG510	1	ZFV	2
CMLTI 2005-10	CG510	1	ZFX	1
CMLTI 2005-10	CG510	1	ZFZ	2
CMLTI 2005-10	CG510	1	ZFW	6
CMLTI 2005-10	CG510	2	ZFW	4
CMLTI 2005-10	CG510	3	ZFY	1
CMLTI 2005-11	CG511	1	0FI	10
CMLTI 2005-11	CG511	2	0FJ	10
CMLTI 2005-11	CG511	3	0FK	9
CMLTI 2005-2	CG502	2	ZEO	1
CMLTI 2005-3	CG503	1	ZEP	9
CMLTI 2005-3	CG503	1	ZER	9
CMLTI 2005-4	CG504	0	ZEV	8
CMLTI 2005-5	CG505	1	ZEW	1
CMLTI 2005-5	CG505	1	ZEZ	1
CMLTI 2005-5	CG505	1	ZF2	1
CMLTI 2005-5	CG505	1	ZF4	1
CMLTI 2005-5	CG505	1	ZF5	1
CMLTI 2005-5	CG505	2	ZF3	1
CMLTI 2005-5	CG505	2	ZF4	1
CMLTI 2005-5	CG505	2	ZF5	1
CMLTI 2005-5	CG505	3	ZEX	1
CMLTI 2005-5	CG505	3	ZEY	1
CMLTI 2005-5	CG505	3	ZF0	1
CMLTI 2005-5	CG505	3	ZEW	1
CMLTI 2005-5	CG505	3	ZF3	1
CMLTI 2005-6	CG506	1	ZF9	9
CMLTI 2005-6	CG506	2	ZFA	9
CMLTI 2005-6	CG506	3	ZFB	9
CMLTI 2005-7	CG507	1	ZFH	1
CMLTI 2005-7	CG507	1	ZFK	2
CMLTI 2005-7	CG507	2	ZFF	1
CMLTI 2005-7	CG507	2	ZFG	1
CMLTI 2005-7	CG507	2	ZFI	2
CMLTI 2005-7	CG507	S1	ZFF	1
CMLTI 2005-7	CG507	S1	ZFL	1
CMLTI 2005-7	CG507	S3	ZFN	1
CMLTI 2005-7	CG507	S3	ZFL	1
CMLTI 2005-7	CG507	W2	ZFN	1
CMLTI 2005-8	CG508	1	ZG5	2
CMLTI 2005-8	CG508	2	ZG5	10
CMLTI 2005-8	CG508	2	ZG4	1
CMLTI 2005-8	CG508	3	ZG5	1
CMLTI 2005-8	CG508	4	ZG4	2
CMLTI 2005-8	CG508	4	ZG5	4
CMLTI 2005-8	CG508	4	ZG6	12
CMLTI 2005-8	CG508	4	ZG7	2
CMLTI 2005-9	CG509	1	ZFR	24
CMLTI 2005-9	CG509	1	ZFS	14
CMLTI 2005-9	CG509	2	ZFT	10
CMLTI 2005-9	CG509	3	ZFU	9
CMLTI 2005-HE1	CG5H1	1	ZEA	11
CMLTI 2005-HE1	CG5H1	2	ZEB	10
CMLTI 2005-HE1	CG5H1	3	ZEC	13
CMLTI 2005-HE3	CG5H3	1	ZE0	14
CMLTI 2005-HE3	CG5H3	2	ZE1	17
CMLTI 2005-HE4	CG5H4	1	ZE2	14
CMLTI 2005-HE4	CG5H4	2	ZE3	17
CMLTI 2005-OPT1	C5OP1	0	XGA	13
CMLTI 2005-OPT3	C5OP3	0	XGC	15
CMLTI 2005-OPT4	C5OP4	1	GK0	14
CMLTI 2005-OPT4	C5OP4	2	GK1	17
CMLTI 2005-WF1	CG5W1	0	ZED	9
CMLTI 2005-WF2	CG5W2	1	ZFC	13
CMLTI 2005-WF2	CG5W2	2	ZFD	10
CMLTI 2006-4	CG604	1	ZG3	10
CMLTI 2006-4	CG604	2	ZG2	12
CMLTI 2006-AMC1	C6AM1	1	ZH2	14
CMLTI 2006-AMC1	C6AM1	2	ZH3	16
CMLTI 2006-AR1	C6AR1	1	ZGB	10
CMLTI 2006-AR1	C6AR1	2	ZGC	10
CMLTI 2006-AR1	C6AR1	3	ZGD	9
CMLTI 2006-AR2	C6AR2	0	ZGG	9
CMLTI 2006-AR2	C6AR2	0	ZGF	2
CMLTI 2006-AR2	C6AR2	0	ZGE	1
CMLTI 2006-AR2	C6AR2	1	ZGE	8
CMLTI 2006-AR2	C6AR2	"1,2"	ZGE	1
CMLTI 2006-AR2	C6AR2	2	ZGF	16
CMLTI 2006-AR3	C6AR3	1	ZGH	2
CMLTI 2006-AR3	C6AR3	1	ZGK	2
CMLTI 2006-AR3	C6AR3	2	ZGI	3
CMLTI 2006-AR3	C6AR3	2	ZGM	1
CMLTI 2006-AR3	C6AR3	3	ZGN	1
CMLTI 2006-AR3	C6AR3	4	ZGO	1
CMLTI 2006-AR5	C6AR5	1	0Z2	5
CMLTI 2006-AR5	C6AR5	1	0Z9	2
CMLTI 2006-AR5	C6AR5	2	0Z3	1
CMLTI 2006-AR5	C6AR5	2	0ZA	1
CMLTI 2006-AR5	C6AR5	3	0Z4	5
CMLTI 2006-AR5	C6AR5	3	0ZB	1
CMLTI 2006-AR5	C6AR5	4	0Z5	1
CMLTI 2006-AR5	C6AR5	4	0ZC	1
CMLTI 2006-AR5	C6AR5	5	0Z6	1
CMLTI 2006-AR5	C6AR5	6	0Z7	1
CMLTI 2006-AR5	C6AR5	6	0ZE	1
CMLTI 2006-AR5	C6AR5	7	0Z8	1
CMLTI 2006-AR5	C6AR5	7	0ZF	1
CMLTI 2006-AR6	C6AR6	1	ZGP	9
CMLTI 2006-AR6	C6AR6	2	ZGQ	10
CMLTI 2006-AR7	C6AR7	1	1CQ	1
CMLTI 2006-AR7	C6AR7	1	1CU	3
CMLTI 2006-AR7	C6AR7	2	1CR	3
CMLTI 2006-AR7	C6AR7	2	1CV	2
CMLTI 2006-AR7	C6AR7	3	1CS	3
CMLTI 2006-AR7	C6AR7	3	1CW	3
CMLTI 2006-AR7	C6AR7	4	1CT	3
CMLTI 2006-AR7	C6AR7	4	1CX	3
CMLTI 2006-AR9	C6AR9	1	0XU	10
CMLTI 2006-AR9	C6AR9	2	0XV	10
CMLTI 2006-FX1	C6FX1	0	0T8	13
CMLTI 2006-HE1	C6HE1	0	ZGR	17
CMLTI 2006-HE2	C6HE2	1	ZFO	13
CMLTI 2006-HE2	C6HE2	2	ZFP	16
CMLTI 2006-HE3	C6HE3	1	HT5	13
CMLTI 2006-HE3	C6HE3	2	YW5	16
CMLTI 2006-NC1	C6N01	1	ZGY	14
CMLTI 2006-NC1	C6N01	2	ZGZ	17
CMLTI 2006-NC2	C6N02	1	ZH4	14
CMLTI 2006-NC2	C6N02	2	ZH5	16
CMLTI 2006-WF1	C6WF1	1	ZGS	6
CMLTI 2006-WF1	C6WF1	2	ZGT	11
CMLTI 2006-WF2	C6WF2	1	ZGU	6
CMLTI 2006-WF2	C6WF2	2	ZGV	11
CMLTI 2006-WFH1	C6WH1	0	ZGW	15
CMLTI 2006-WFH2	C6WH2	0	ZGX	19
CMLTI 2006-WFH3	C6WH3	0	ZH6	19
CMLTI 2006-WFH4	C6WH4	0	023	19
CMLTI 2006-WMC1	C6WM1	1	ZG0	12
CMLTI 2006-WMC1	C6WM1	2	ZG1	15
CMLTI 2007-19	CG710	1	1GL	9
CMLTI 2007-19	CG710	1	1GM	1
CMLTI 2007-19	CG710	1	1GN	4
CMLTI 2007-19	CG710	1	1GP	2
CMLTI 2007-19	CG710	1	1GQ	2
CMLTI 2007-19	CG710	1	1GR	6
CMLTI 2007-19	CG710	1	1GS	2
CMLTI 2007-19	CG710	1	1GT	2
CMLTI 2007-19	CG710	3	1GO	3
CMLTI 2007-2	CG702	1	ZH7	12
CMLTI 2007-2	CG702	2	ZH8	9
CMLTI 2007-6	CG706	2	0BG	1
CMLTI 2007-6	CG706	3	0BG	2
CMLTI 2007-6	CG706	3	0BH	17
CMLTI 2007-6	CG706	3	0BI	1
CMLTI 2007-6	CG706	3	0BJ	3
CMLTI 2007-AHL1	CG7WG	1	ZI0	14
CMLTI 2007-AHL1	CG7WG	2	ZI1	16
CMLTI 2007-AHL2	CG7A2	1	554	13
CMLTI 2007-AHL2	CG7A2	2	555	13
CMLTI 2007-AHL2	CG7A2	3	556	15
CMLTI 2007-AHL3	CG7A3	1	709	13
CMLTI 2007-AHL3	CG7A3	2	710	13
CMLTI 2007-AHL3	CG7A3	3	711	15
CMLTI 2007-AMC1	C7AM1	1	0AM	13
CMLTI 2007-AMC1	C7AM1	2	0AN	15
CMLTI 2007-AMC2	C7AM2	1	LD4	11
CMLTI 2007-AMC2	C7AM2	2	LD5	11
CMLTI 2007-AMC2	C7AM2	3	LD6	13
CMLTI 2007-AMC3	C7AM3	1	490	13
CMLTI 2007-AMC3	C7AM3	2	491	16
CMLTI 2007-AMC4	C7AM4	1	726	16
CMLTI 2007-AMC4	C7AM4	2	727	19
CMLTI 2007-AR1	C7AR1	1	ZGJ	3
CMLTI 2007-AR1	C7AR1	2	ZGJ	8
CMLTI 2007-AR4	C7AR4	0	ZI2	17
CMLTI 2007-AR4	C7AR4	1	ZI3	8
CMLTI 2007-AR4	C7AR4	2	ZI4	8
CMLTI 2007-AR4	C7AR4	3	ZI5	8
CMLTI 2007-AR5	C7AR5	1	ZHA	1
CMLTI 2007-AR5	C7AR5	1	ZHD	1
CMLTI 2007-AR5	C7AR5	2	ZHB	1
CMLTI 2007-AR5	C7AR5	2	ZHE	1
CMLTI 2007-AR5	C7AR5	3	ZHC	3
CMLTI 2007-AR7	C7AR7	1	557	8
CMLTI 2007-AR7	C7AR7	2	558	8
CMLTI 2007-AR7	C7AR7	3	559	9
CMLTI 2007-AR7	C7AR7	4	560	9
CMLTI 2007-AR7	C7AR7	5	561	8
CMLTI 2007-AR8	C7AR8	0	1JC	1
CMLTI 2007-AR8	C7AR8	0	1JD	1
CMLTI 2007-AR8	C7AR8	0	1JE	9
CMLTI 2007-AR8	C7AR8	1	1JB	15
CMLTI 2007-AR8	C7AR8	2	1JC	10
CMLTI 2007-AR8	C7AR8	3	1JD	9
CMLTI 2007-OPX1	C7OP1	0	0UZ	17
CMLTI 2007-WFH1	CG7WF	0	ZGL	19
CMLTI 2007-WFH2	CG7W2	0	256	18
CMLTI 2007-WFH3	CG7W3	0	868	18
CMLTI 2007-WFH4	CG7W4	1	10G	13
CMLTI 2007-WFH4	CG7W4	2	10H	15
CMOH 2004-1		0		4
CMS 1993-1	CHM31	0		8
CMS 1993-2	CHM32	0		14
CMS 1993-3	CHM33	0		13
CMS 1994-1	CHM41	0		14
CMS 1994-2	CHM42	0		15
CMS 1994-3	CHM43	0		13
CMS 1996-1	CHM61	0		14
CMSI 1987-2	CT872	0		1
CMSI 1988-1	CT881	0		3
CMSI 1988-2	CT882	0		1
CMSI 1990-4	CT904	0		6
CMSI 1990-A	CT90A	0		5
CMSI 1990-B	CT90B	0		4
CMSI 1990-C	CT90C	0		6
CMSI 1991-9	CT919	0		6
CMSI 1993-1	CM931	0		5
CMSI 1993-10	CM310	0		9
CMSI 1993-11	CM311	0		8
CMSI 1993-12	CM312	0		10
CMSI 1993-13	CM313	0		9
CMSI 1993-14	CM314	0	CT3	5
CMSI 1993-2	CM932	0		7
CMSI 1993-3	CM933	0		14
CMSI 1993-4	CM934	0		9
CMSI 1993-5	CM935	0		9
CMSI 1993-6	CM936	0		8
CMSI 1993-7	CM937	0		8
CMSI 1993-8	CM938	0		10
CMSI 1993-9	CM939	0		6
CMSI 1994-1	CM941	0		6
CMSI 1994-10	CM410	0		14
CMSI 1994-11	CM411	0		11
CMSI 1994-12	CM412	0		5
CMSI 1994-13	CM413	0		11
CMSI 1994-2	CM942	0		11
CMSI 1994-3	CM943	0	C87	15
CMSI 1994-4	CM944	0		10
CMSI 1994-5	CM945	0	C89	9
CMSI 1994-6	CM946	0		7
CMSI 1994-7	CM947	0		7
CMSI 1994-8	CM948	0		9
CMSI 1994-9	CM949	0		11
CMSI 1995-1	CM501	0		12
CMSI 1995-2	CM502	0		14
CMSI 1995-3	CM503	0		12
CMSI 1996-1	CM601	0		16
CMSI 1997-1	CM701	0		17
CMSI 1997-2	CM702	0		14
CMSI 1997-3	CM703	0		17
CMSI 1997-4	CM704	0		10
CMSI 1997-5	CM705	0		15
CMSI 1997-6	CM706	0		4
CMSI 1997-7	CM707	0		13
CMSI 1998-1	CM801	0		9
CMSI 1998-10	CM810	0		17
CMSI 1998-2	CM802	0		21
CMSI 1998-3	CM803	0		15
CMSI 1998-4	CM804	0		22
CMSI 1998-5	CM805	0		10
CMSI 1998-6	CM806	0		17
CMSI 1998-7	CM807	0		25
CMSI 1998-8	CM808	0		14
CMSI 1998-9	CM809	0		23
CMSI 1999-1	CM901	0		15
CMSI 1999-2	CM902	0		12
CMSI 1999-3	CM903	0		17
CMSI 1999-4	CM904	0		28
CMSI 1999-5	CM905	0		30
CMSI 1999-6	CM906	0		7
CMSI 1999-7	CM907	0		16
CMSI 1999-8	CM908	0		13
CMSI 2000-1	CM001	0		14
CMSI 2000-2	CM002	0		17
CMSI 2000-3	CM003	0		9
CMSI 2000-4	CM004	0		12
CMSI 2000-5	CM005	0		39
CMSI 2000-6	CM006	0		61
CMSI 2001-1	CM007	0		16
CMSI 2001-10	CS020	0		16
CMSI 2001-11	CS021	0		10
CMSI 2001-12	CS022	0		15
CMSI 2001-13	CS023	0		15
CMSI 2001-14	CS024	0		15
CMSI 2001-15	CS025	0		13
CMSI 2001-16	CS027	0		16
CMSI 2001-17	CS026	0		21
CMSI 2001-18	CS028	0		21
CMSI 2001-2	CM008	0		46
CMSI 2001-3	CM009	0		8
CMSI 2001-4	CS014	0		30
CMSI 2001-5	CS015	0		12
CMSI 2001-6	CS016	0		20
CMSI 2001-7	CS017	0		21
CMSI 2001-8	CS018	0		10
CMSI 2001-9	CS019	0		12
CMSI 2002-1	CS201	0		16
CMSI 2002-10	CS210	0		13
CMSI 2002-11	CS211	1	DA9	52
CMSI 2002-11	CS211	"1,3"	DA9	1
CMSI 2002-11	CS211	2	DAA	7
CMSI 2002-11	CS211	3	DAB	8
CMSI 2002-12	CS212	1	DAC	22
CMSI 2002-12	CS212	2	DAD	7
CMSI 2002-2	CS202	0		17
CMSI 2002-3	CS203	0		16
CMSI 2002-4	CS204	0		23
CMSI 2002-5	CS205	0		17
CMSI 2002-6	CS206	0		23
CMSI 2002-7	CS207	0		20
CMSI 2002-8	CS208	0		18
CMSI 2002-9	CS209	0		16
CMSI 2003-1	CS301	0	DAE	73
CMSI 2003-10	CS30A	0	DAR	11
CMSI 2003-11	CS30B	1	DAV	15
CMSI 2003-11	CS30B	2	DAW	20
CMSI 2003-2	CS302	1	DAF	31
CMSI 2003-2	CS302	2	DAG	11
CMSI 2003-3	CS303	0	DAH	41
CMSI 2003-4	CS304	0	DAI	12
CMSI 2003-5	CS305	1	DAJ	17
CMSI 2003-5	CS305	2	DAK	11
CMSI 2003-5	CS305	3	DAL	13
CMSI 2003-6	CS306	1	DAM	11
CMSI 2003-6	CS306	2	DAN	9
CMSI 2003-7	CS307	0	DAO	8
CMSI 2003-8	CS308	0	DAP	24
CMSI 2003-9	CS309	0	DAQ	32
CMSI 2004-1	CS401	1	DAS	14
CMSI 2004-1	CS401	2	DAT	9
CMSI 2004-1	CS401	3	DAU	8
CMSI 2004-2	CS402	0	DAX	18
CMSI 2004-3	CS403	0	DAY	19
CMSI 2004-4	CS404	0	DAZ	21
CMSI 2004-5	CS405	1	DBA	38
CMSI 2004-5	CS405	2	DBB	13
CMSI 2004-5	CS405	3	DBC	7
CMSI 2004-5	CS405	4	DBD	10
CMSI 2004-6	CS406	1	DBE	18
CMSI 2004-6	CS406	2	DBF	8
CMSI 2004-7	CS407	1	DBG	15
CMSI 2004-7	CS407	2	DBH	8
CMSI 2004-8	CS408	1	DBI	15
CMSI 2004-8	CS408	2	DBJ	9
CMSI 2004-8	CS408	3	DBK	10
CMSI 2004-9	CS409	1	DBL	17
CMSI 2004-9	CS409	2	DBM	8
CMSI 2005-1	CMS51	1	DBN	20
CMSI 2005-1	CMS51	2	DBO	8
CMSI 2005-1	CMS51	3	DBP	10
CMSI 2005-2	CMS52	1	DBQ	12
CMSI 2005-2	CMS52	2	DBR	9
CMSI 2005-3	CMS53	1	DBS	22
CMSI 2005-3	CMS53	2	DBT	9
CMSI 2005-4	CMS54	1	DBU	15
CMSI 2005-4	CMS54	2	DBV	8
CMSI 2005-4	CMS54	3	DBW	11
CMSI 2005-5	CMS55	1	DBZ	19
CMSI 2005-5	CMS55	2	DB0	10
CMSI 2005-5	CMS55	3	DB1	7
CMSI 2005-6	CMS56	1	DB2	17
CMSI 2005-6	CMS56	2	DB3	8
CMSI 2005-7	CMS57	1	DB4	15
CMSI 2005-7	CMS57	2	DB5	8
CMSI 2005-7	CMS57	3	DB6	8
CMSI 2005-8	CMS58	1	DB7	15
CMSI 2005-8	CMS58	2	DB8	10
CMSI 2006-1	CMS61	1	DCC	19
CMSI 2006-1	CMS61	2	DCD	7
CMSI 2006-1	CMS61	3	DCE	8
CMSI 2006-1	CMS61	4	DCF	7
CMSI 2006-1	CMS61	5	DCG	7
CMSI 2006-2	CMS62	1	DCH	24
CMSI 2006-2	CMS62	2	DCI	8
CMSI 2006-2	CMS62	3	DCJ	8
CMSI 2006-3	CMS63	1	DCN	26
CMSI 2006-3	CMS63	"1,3"	DCN	1
CMSI 2006-3	CMS63	2	DCO	10
CMSI 2006-3	CMS63	3	DCP	10
CMSI 2006-4	CMS64	1	DCQ	20
CMSI 2006-4	CMS64	2	DCR	9
CMSI 2006-4	CMS64	3	DCS	9
CMSI 2006-5	CMS65	1	DCX	22
CMSI 2006-5	CMS65	2	DCY	9
CMSI 2006-5	CMS65	3	DCZ	9
CMSI 2006-6	CMS66	0	DC3	20
CMSI 2006-6	CMS66	NULL	DC3	1
CMSI 2006-7	CMS67	1	4VZ	9
CMSI 2006-7	CMS67	2	F4F	9
CMSI 2006-7	CMS67	3	LP7	9
CMSI 2007-1	CMS71	1	DC4	19
CMSI 2007-1	CMS71	2	DC5	9
CMSI 2007-2	CMS72	1	DC6	16
CMSI 2007-2	CMS72	2	DC7	9
CMSI 2007-2	CMS72	3	DC9	9
CMSI 2007-3	CMS73	1	452	20
CMSI 2007-3	CMS73	2	453	9
CMSI 2007-3	CMS73	3	454	9
CMSI 2007-4	CMS74	1	420	22
CMSI 2007-4	CMS74	2	421	8
CMSI 2007-4	CMS74	3	422	8
CMSI 2007-5	CMS75	1	576	19
CMSI 2007-5	CMS75	2	577	9
CMSI 2007-5	CMS75	3	578	9
CMSI 2007-6	CMS76	1	785	22
CMSI 2007-6	CMS76	2	786	9
CMSI 2007-6	CMS76	3	787	9
CMSI 2007-7	CMS77	1	960	10
CMSI 2007-7	CMS77	2	961	9
CMSI 2007-7	CMS77	3	962	9
CMSI 2007-8	CMS78	1	0W2	12
CMSI 2007-8	CMS78	2	0W3	9
CMSI 2007-8	CMS78	3	0W4	9
CMSI 2007-9	CMS79	1	92A	10
CMSI 2007-9	CMS79	2	92B	9
CMSI 2008-1	CMS81	1	1P3	10
CMSI 2008-1	CMS81	2	1P4	9
CMSI 2008-2	CMS82	1	1UE	10
CMSI 2008-2	CMS82	2	1U0	10
CNFHE 2001-C		0		10
CNFHE 2001-D		0		10
CNFHI 1999-G		0		10
CONHE 1995-3		0		6
CONHE 1995-4		0		13
CONHE 1996-1		0		9
CONHE 1996-3		0		10
CONHE 1996-4		0		12
CONHE 1997-1	CNT71	0	E32	13
CONHE 1997-5		0		12
CONHE 1998-1		0		11
CONHE 1999-1	CNT91	1	ECL	8
CONHE 1999-1	CNT91	2	ECM	1
CONHE 1999-2	CNT92	1	ECN	8
CONHE 1999-2	CNT92	2	ECO	1
CONHE 1999-3	CNT93	1	ECP	8
CONHE 1999-3	CNT93	2	ECQ	1
CONNT 1998-A		0		1
CRMSI 2006-1	CRM61	0	DCV	17
CRMSI 2006-2	CRM62	0	DCW	18
CRMSI 2006-3	CRM63	0	003	17
CRMSI 2007-1	CRM71	0	207	18
CRMSI 2007-2	CRM72	0	696	18
CRMT 1999-1	CMP91	0		5
CRMT 2000-1	CMP01	0		5
CSAB 2006-1	CSF01	0	0N9	16
CSAB 2006-2	CSA02	0	0RZ	22
CSAB 2006-3	CSA03	0	0SZ	24
CSAB 2006-4	CSA04	0	01I	23
CSAB 2007-1	CSA74	1	424	18
CSAB 2007-1	CSA74	2	425	18
CSC2 1990-1	CP0-1	0		4
CSC3 1991-1	CP1-1	0		4
CSC3 1991-2	CP1-2	0		7
CSC3 1991-3	CP1-3	0		8
CSC3 1991-4	CP1-4	0		3
CSC3 1991-5	CP1-5	0		8
CSC3 1991-6	CP1-6	0		7
CSC4 1991-7	CP1-7	0		11
CSC4 1991-8	CP1-8	0		3
CSC4 1992-1	CP2-1	0		15
CSC4 1992-10	CP210	0		13
CSC4 1992-11	CP211	0		15
CSC4 1992-12	CP212	0		5
CSC4 1992-13	CP213	0		9
CSC4 1992-14	CP214	0		2
CSC4 1992-15	CP215	0		7
CSC4 1992-2	CP2-2	0		9
CSC4 1992-3	CP2-3	0		3
CSC4 1992-4	CP2-4	0		10
CSC4 1992-5	CP2-5	0		6
CSC4 1992-6	CP2-6	0		9
CSC4 1992-7	CP2-7	0		12
CSC4 1992-8	CP2-8	0		7
CSC4 1992-9	CP2-9	0		4
CSC4 1998-3	CP-83	0		3
CSFB 1998-1	CSF81	0		16
CSFB 2000-HE1	FB0H1	0		5
CSFB 2001-1	CSH11	0	CST	5
CSFB 2001-11	CSH1B	1	CSU	11
CSFB 2001-11	CSH1B	2	CSV	15
CSFB 2001-11	CSH1B	3	CSW	19
CSFB 2001-11	CSH1B	4	CSX	12
CSFB 2001-2	CSH12	0		19
CSFB 2001-26	CS126	1	C0G	24
CSFB 2001-26	CS126	"1,4,5"	C0G	1
CSFB 2001-26	CS126	2	C0H	13
CSFB 2001-26	CS126	3	C0I	11
CSFB 2001-26	CS126	4	C0J	4
CSFB 2001-26	CS126	5	CZO	8
CSFB 2001-28	CS128	1	CZY	11
CSFB 2001-28	CS128	2	CZZ	1
CSFB 2001-33	CS133	3	RRP	12
CSFB 2001-4	CSH14	0	FAR	5
CSFB 2001-9	CSH19	0		32
CSFB 2001-AR19	CSH1J	0		17
CSFB 2001-AR24	CSH24	0		16
CSFB 2001-AR7	CSH17	4	FAV	5
CSFB 2001-HE12	CSH1C	0		6
CSFB 2001-HE16	CSH1G	0	CSS	6
CSFB 2001-HE17	CSH1H	0	CSY	7
CSFB 2001-HE20	CSH20	1	CZG	7
CSFB 2001-HE20	CSH20	2	CZH	6
CSFB 2001-HE22	CSH22	1	CZK	5
CSFB 2001-HE22	CSH22	2	CZL	6
CSFB 2001-HE25	CSH25	1	XXH	6
CSFB 2001-HE25	CSH25	2	XXI	7
CSFB 2001-HE30	CSH30	1	XY1	7
CSFB 2001-HE30	CSH30	2	XY2	8
CSFB 2001-HE30	CSH30	3	XY3	7
CSFB 2001-HE8	CSH18	1	XCV	6
CSFB 2001-HE8	CSH18	2	XCW	6
CSFB 2001-HS27	CS127	0	XY4	6
CSFB 2001-S13	CSH1D	0		5
CSFB 2001-S15	CSH1F	0		16
CSFB 2001-S18	CSH1I	0		7
CSFB 2001-S23	CSH23	0		10
CSFB 2001-S31	CSH31	0		10
CSFB 2001-S6	CSH16	1	FAX	10
CSFB 2001-S6	CSH16	2	FAY	7
CSFB 2001-S6	CSH16	3	FAZ	6
CSFB 2002-10	1B210	1	XXT	11
CSFB 2002-10	1B210	2	XXU	11
CSFB 2002-18	1B218	1	CS8	9
CSFB 2002-18	1B218	2	CS9	12
CSFB 2002-19	1B219	1	CSJ	27
CSFB 2002-19	1B219	2	CSK	10
CSFB 2002-19	1B219	3	X3H	9
CSFB 2002-22	1B222	0	X3B	1
CSFB 2002-22	1B222	1	X3A	11
CSFB 2002-22	1B222	2	X3B	7
CSFB 2002-22	1B222	3	X3C	8
CSFB 2002-22	1B222	4	X3D	11
CSFB 2002-24	1B224	1	X3I	10
CSFB 2002-26	1B226	1	X3E	43
CSFB 2002-26	1B226	3	X3G	13
CSFB 2002-26	1B226	4	X3L	8
CSFB 2002-29	1B229	1	XYH	10
CSFB 2002-29	1B229	2	XYI	12
CSFB 2002-30	1B230	1	XYJ	10
CSFB 2002-30	1B230	2	XYK	13
CSFB 2002-34	1B234	1	XZ0	10
CSFB 2002-34	1B234	2	XZ1	13
CSFB 2002-34	1B234	3	XZ2	62
CSFB 2002-34	1B234	4	XZ3	9
CSFB 2002-5	DL025	1	CCV	63
CSFB 2002-5	DL025	2	CCW	10
CSFB 2002-5	DL025	3	CCX	7
CSFB 2002-5	DL025	"3,4,5"	CCX	1
CSFB 2002-5	DL025	4	CCY	10
CSFB 2002-7	1B207	0	CCP	10
CSFB 2002-9	1B209	1	XXR	12
CSFB 2002-9	1B209	2	XXS	10
CSFB 2002-AR13	1B213	1	XY5	8
CSFB 2002-AR13	1B213	2	XY6	7
CSFB 2002-AR13	1B213	3	XY7	8
CSFB 2002-AR13	1B213	4	XY8	7
CSFB 2002-AR13	1B213	5	XY9	5
CSFB 2002-AR2	1B202	1	CCM	8
CSFB 2002-AR2	1B202	2	CCN	6
CSFB 2002-AR21	1B221	1	XXZ	9
CSFB 2002-AR21	1B221	2	X1Z	8
CSFB 2002-AR21	1B221	3	X2Z	10
CSFB 2002-AR21	1B221	4	X3Z	5
CSFB 2002-AR25	1B225	1	XYA	9
CSFB 2002-AR25	1B225	2	XYB	9
CSFB 2002-AR25	1B225	3	XYC	4
CSFB 2002-AR27	1B227	0		22
CSFB 2002-AR28	1B228	1	XYL	10
CSFB 2002-AR28	1B228	2	XYM	11
CSFB 2002-AR28	1B228	3	XYN	3
CSFB 2002-AR31	1B231	1	XYO	9
